image,raw_acc,raw_f1,morph_acc,morph_f1
fruit_001,0.5841,0.3464,0.5091,0.2929
fruit_002,0.6261,0.3121,0.6763,0.3269
fruit_003,0.3034,0.2202,0.2827,0.1462
fruit_004,0.9154,0.9036,0.9297,0.9190
fruit_005,0.4783,0.4742,0.3937,0.3577
fruit_006,0.7013,0.7258,0.7208,0.7505
fruit_007,0.8843,0.8232,0.9057,0.8505
fruit_008,0.6640,0.5732,0.6389,0.5340
fruit_009,0.2821,0.1903,0.2584,0.1280
fruit_010,0.7364,0.7420,0.7519,0.7622
fruit_011,0.5195,0.1204,0.4119,0.5835
fruit_012,0.6214,0.2250,0.6058,0.0905
fruit_013,0.8864,0.8933,0.8809,0.8905
fruit_014,0.5689,0.3634,0.5763,0.3305
fruit_015,0.6327,0.5210,0.2801,0.4377
fruit_016,0.5997,0.5451,0.5752,0.7196
fruit_017,0.6916,0.4510,0.7172,0.3956
fruit_018,0.6930,0.5191,0.7923,0.6077
fruit_019,0.4290,0.1414,0.4486,0.0465
fruit_020,0.3588,0.0389,0.5902,0.7423
fruit_021,0.9019,0.8884,0.9523,0.9479
fruit_022,0.5983,0.5799,0.3494,0.5024
fruit_023,0.5440,0.4856,0.4560,0.3832
fruit_024,0.7658,0.1743,0.7987,0.1760
fruit_025,0.7072,0.4674,0.4926,0.3938
fruit_026,0.2523,0.1261,0.6263,0.7702
fruit_027,0.7983,0.7948,0.8228,0.8210
fruit_028,0.7389,0.6683,0.2668,0.4212
fruit_029,0.8581,0.8501,0.6654,0.7320
fruit_030,0.3617,0.3630,0.3165,0.2445
fruit_031,0.7784,0.4503,0.7649,0.3941
fruit_032,0.6625,0.2534,0.1669,0.2861
fruit_033,0.5116,0.3372,0.5076,0.3277
fruit_034,0.4946,0.2410,0.3741,0.1881
fruit_035,0.6648,0.4478,0.3231,0.4884
fruit_036,0.7647,0.5677,0.8124,0.6246
fruit_037,0.4713,0.4204,0.3868,0.5573
fruit_038,0.6173,0.5691,0.4046,0.5761
fruit_039,0.3471,0.3733,0.2956,0.2773
fruit_040,0.6054,0.5514,0.6097,0.5126
fruit_041,0.5439,0.5031,0.4504,0.6210
fruit_042,0.8143,0.6970,0.8305,0.6763
fruit_043,0.7011,0.3413,0.6750,0.3188
fruit_044,0.6035,0.2352,0.6345,0.1804
fruit_045,0.6499,0.0810,0.6746,0.0337
fruit_046,0.6297,0.0260,0.6561,0.0000
fruit_047,0.3632,0.3948,0.7776,0.8749
fruit_048,0.8349,0.8377,0.8344,0.8397
fruit_049,0.5774,0.3075,0.2970,0.3181
fruit_050,0.8272,0.7207,0.9004,0.8402
